nom;nom_annuaire;ville;ville_propre;Code;jour;categorie;ouverture_am;fermeture_am;ouverture_pm;fermeture_pm;bibli_amp_def_latlong_nom;bibli_amp_def_latlong_y;bibli_amp_def_latlong_x;bibli_amp_def_latlong_bibli_amp_def_nom_annuaire
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;samedi;tous publics;10:00:00;NA;NA;18:00:00;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
NA;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE;Berre-l'Etang;BERRE L ETANG;393.0;dimanche;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.474628;5.167922;MÉDIATHÈQUE EDMONDE CHARLES-ROUX DEFFERRE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;lundi;tous publics;10:00:00;12:00:00;13:00:00;19:00:00;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;mardi;tous publics;10:00:00;12:00:00;14:00:00;17:00:00;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;mercredi;tous publics;09:00:00;NA;NA;18:00:00;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;jeudi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;vendredi;tous publics;10:00:00;12:00:00;14:00:00;18:00:00;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;samedi;tous publics;09:00:00;12:00:00;NA;NA;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
Bibliothèque municipale;BIBLIOTHÈQUE MUNICIPALE;Bouc-Bel-Air;BOUC BEL AIR;394.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.451009;5.413573;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;lundi;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;mardi;tous publics;10:00:00;12:30:00;15:00:00;18:00:00;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;mercredi;tous publics;10:00:00;NA;NA;19:00:00;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;jeudi;tous publics;NA;NA;15:00:00;18:00:00;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;vendredi;tous publics;NA;NA;15:00:00;19:00:00;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;samedi;tous publics;10:00:00;12:30:00;NA;NA;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;Cabriès;CABRIES;397.0;dimanche;tous publics;NA;NA;NA;NA;Bibliothèque municipale;43.440663;5.381792;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;lundi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;mardi;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;mercredi;tous publics;08:30:00;12:00:00;14:00:00;18:00:00;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;jeudi;tous publics;09:00:00;12:00:00;14:00:00;18:00:00;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;vendredi;tous publics;08:30:00;12:00:00;14:00:00;18:00:00;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;samedi;tous publics;08:30:00;12:00:00;NA;NA;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;BIBLIOTHÈQUE MUNICIPALE;CADOLIVE;CADOLIVE;398.0;dimanche;tous publics;NA;NA;NA;NA;Médiathèque municipale;43.396078;5.545794;BIBLIOTHÈQUE MUNICIPALE
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;lundi;tous publics;NA;NA;NA;NA;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;mardi;tous publics;NA;NA;15:00:00;19:00:00;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;mercredi;tous publics;10:00:00;13:00:00;14:00:00;17:00:00;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;jeudi;tous publics;10:00:00;13:00:00;NA;NA;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;vendredi;tous publics;NA;NA;15:00:00;19:00:00;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;samedi;tous publics;10:00:00;13:00:00;NA;NA;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
NA;MÉDIATHÈQUE ALBERT CAMUS;Carnoux-en-Provence;CARNOUX EN PROVENCE;399.0;dimanche;tous publics;NA;NA;NA;NA;Médiathèque Albert Camus;43.252269;5.557751;MÉDIATHÈQUE ALBERT CAMUS
